
2018-11-21 14:45:09,161 proc_top starting

2018-11-21 14:45:19,161
   pid name                  utime  stime  pct
    64 (kworker/0:2)             0     57   6%
   831 (python)                 31     10   4%
   726 (wpa_supplicant)          9      4   1%
    71 (mmcqd/0)                 0     10   1%
   106 (loop0)                   0      5   1%

2018-11-21 14:45:29,162
   pid name                  utime  stime  pct
   905 (telem_down)             12     87  10%
   918 (python)                 85      5   9%
   921 (python)                 50     12   6%
    64 (kworker/0:2)             0     49   5%
   919 (python)                 37      9   5%
   903 (pixrc_udp)               0     30   3%
   914 (vidsrc:src)             19     11   3%
   901 (python)                 19      9   3%
   890 (dataflash_logge)         3     10   1%
    24 (ipu1_task)               0      8   1%
    71 (mmcqd/0)                 0      7   1%
   920 (python)                  4      2   1%

2018-11-21 14:45:39,161
   pid name                  utime  stime  pct
   905 (telem_down)             16     82  10%
   918 (python)                 87      2   9%
   921 (python)                 52     10   6%
    64 (kworker/0:2)             0     48   5%
   919 (python)                 41      5   5%
   903 (pixrc_udp)               0     30   3%
   914 (vidsrc:src)             19     11   3%
   901 (python)                 19     10   3%
   890 (dataflash_logge)         2     11   1%
    24 (ipu1_task)               0      9   1%
   920 (python)                  6      0   1%
   908 (pixrc_ser)               0      5   1%
   906 (telem_up)                1      4   1%

2018-11-21 14:45:49,162
   pid name                  utime  stime  pct
   905 (telem_down)             14     85  10%
   918 (python)                 83      6   9%
   921 (python)                 48     15   6%
    64 (kworker/0:2)             0     48   5%
   919 (python)                 36     10   5%
   914 (vidsrc:src)             13     17   3%
   903 (pixrc_udp)               0     29   3%
   901 (python)                 19     10   3%
   890 (dataflash_logge)         4      9   1%
    24 (ipu1_task)               0      8   1%
   920 (python)                  6      0   1%
    71 (mmcqd/0)                 0      5   1%

2018-11-21 14:45:59,161
   pid name                  utime  stime  pct
   905 (telem_down)             16     81  10%
   918 (python)                 81      7   9%
   921 (python)                 43     19   6%
    64 (kworker/0:2)             0     48   5%
   919 (python)                 37      9   5%
   903 (pixrc_udp)               0     31   3%
   914 (vidsrc:src)             20     10   3%
   901 (python)                 19     10   3%
   890 (dataflash_logge)         4      9   1%
    24 (ipu1_task)               0      9   1%
   908 (pixrc_ser)               2      3   1%
   906 (telem_up)                0      5   1%

2018-11-21 14:46:09,162
   pid name                  utime  stime  pct
   918 (python)                100      5  11%
   905 (telem_down)             16     87  10%
   921 (python)                 50     18   7%
    64 (kworker/0:2)             0     50   5%
   919 (python)                 42      5   5%
   903 (pixrc_udp)               0     31   3%
   901 (python)                 21     10   3%
   914 (vidsrc:src)             23      7   3%
   890 (dataflash_logge)         4     11   2%
    24 (ipu1_task)               0      8   1%
   920 (python)                  5      1   1%
    71 (mmcqd/0)                 0      5   1%
   906 (telem_up)                2      3   1%

2018-11-21 14:46:19,161
   pid name                  utime  stime  pct
   905 (telem_down)             12     86  10%
   918 (python)                 84      7   9%
   921 (python)                 47     15   6%
    64 (kworker/0:2)             0     48   5%
   919 (python)                 38      7   5%
   903 (pixrc_udp)               0     30   3%
   914 (vidsrc:src)             21      9   3%
   901 (python)                 20      9   3%
   890 (dataflash_logge)         3     10   1%
    24 (ipu1_task)               0      9   1%
    71 (mmcqd/0)                 0      5   1%
   908 (pixrc_ser)               0      5   1%
   906 (telem_up)                0      5   1%
   920 (python)                  4      1   1%

2018-11-21 14:46:29,161
   pid name                  utime  stime  pct
   905 (telem_down)             11     87  10%
   918 (python)                 79      9   9%
   921 (python)                 43     19   6%
    64 (kworker/0:2)             0     48   5%
   919 (python)                 39      7   5%
   903 (pixrc_udp)               0     30   3%
   914 (vidsrc:src)             20     10   3%
   901 (python)                 20      9   3%
   890 (dataflash_logge)         3     10   1%
    24 (ipu1_task)               0      8   1%
   920 (python)                  6      0   1%

2018-11-21 14:46:39,161
   pid name                  utime  stime  pct
   905 (telem_down)             11     84  10%
   918 (python)                 86      3   9%
   921 (python)                 53      8   6%
    64 (kworker/0:2)             0     48   5%
   919 (python)                 41      5   5%
   914 (vidsrc:src)             22      8   3%
