Nov 21 14:45:11 3dr_solo local6.info video: main: built Sep 22 2016 15:31:07
Nov 21 14:45:11 3dr_solo local6.info video: Operating in variable bitrate mode (800000-1800000)@24fps
Nov 21 14:45:11 3dr_solo local6.info video: Using variable streaming resolution
Nov 21 14:45:11 3dr_solo local6.info video: Initializing
Nov 21 14:45:12 3dr_solo local6.info video: Creating pipeline
Nov 21 14:45:13 3dr_solo local6.info video: Starting play
Nov 21 14:45:13 3dr_solo local6.info video: new size: 640x480
Nov 21 14:45:13 3dr_solo local6.info video: Restarting pipeline
Nov 21 14:45:13 3dr_solo local6.info video: Last timestamp: 0
Nov 21 14:45:14 3dr_solo local6.info video: New bitrate: 1700000bps
Nov 21 14:45:14 3dr_solo local6.info video: Last timestamp: 109777
Nov 21 14:45:15 3dr_solo local6.info video: New bitrate: 1600000bps
Nov 21 14:45:15 3dr_solo local6.info video: Last timestamp: 125065
Nov 21 14:45:15 3dr_solo local6.info video: New bitrate: 1500000bps
Nov 21 14:45:15 3dr_solo local6.info video: Last timestamp: 159138
Nov 21 14:45:15 3dr_solo local6.info video: New bitrate: 1400000bps
Nov 21 14:45:15 3dr_solo local6.info video: Last timestamp: 175607
Nov 21 14:45:16 3dr_solo local6.info video: New bitrate: 1300000bps
Nov 21 14:45:16 3dr_solo local6.info video: Last timestamp: 191859
Nov 21 14:45:16 3dr_solo local6.info video: New bitrate: 1200000bps
Nov 21 14:45:16 3dr_solo local6.info video: Last timestamp: 207518
Nov 21 14:45:17 3dr_solo local6.info video: New bitrate: 1100000bps
Nov 21 14:45:17 3dr_solo local6.info video: Last timestamp: 241555
Nov 21 14:45:17 3dr_solo local6.info video: New bitrate: 1000000bps
Nov 21 14:45:17 3dr_solo local6.info video: Last timestamp: 276714
Nov 21 14:45:18 3dr_solo local6.info video: New bitrate: 900000bps
Nov 21 14:45:18 3dr_solo local6.info video: Last timestamp: 311452
Nov 21 14:45:18 3dr_solo local6.info video: New bitrate: 800000bps
Nov 21 14:45:18 3dr_solo local6.info video: Last timestamp: 326732
Nov 21 14:49:14 3dr_solo local6.info video: New bitrate: 1000000bps
Nov 21 14:49:14 3dr_solo local6.info video: Last timestamp: 21567989
Nov 21 14:49:17 3dr_solo local6.info video: New bitrate: 1200000bps
Nov 21 14:49:17 3dr_solo local6.info video: Last timestamp: 21838304
Nov 21 14:49:20 3dr_solo local6.info video: New bitrate: 1400000bps
Nov 21 14:49:20 3dr_solo local6.info video: Last timestamp: 22109041
Nov 21 14:49:23 3dr_solo local6.info video: New bitrate: 1600000bps
Nov 21 14:49:23 3dr_solo local6.info video: Last timestamp: 22379840
Nov 21 14:49:26 3dr_solo local6.info video: New bitrate: 1800000bps
Nov 21 14:49:26 3dr_solo local6.info video: Last timestamp: 22650521
Nov 22 08:47:09 3dr_solo local6.info video: New bitrate: 1700000bps
Nov 22 08:47:09 3dr_solo local6.info video: Last timestamp: 50022020
Nov 22 08:47:10 3dr_solo local6.info video: New bitrate: 1600000bps
Nov 22 08:47:10 3dr_solo local6.info video: Last timestamp: 50038084
Nov 22 08:47:10 3dr_solo local6.info video: New bitrate: 1500000bps
Nov 22 08:47:10 3dr_solo local6.info video: Last timestamp: 50073111
Nov 22 08:47:11 3dr_solo local6.info video: New bitrate: 1400000bps
Nov 22 08:47:11 3dr_solo local6.info video: Last timestamp: 50088867
Nov 22 08:47:12 3dr_solo local6.info video: New bitrate: 1300000bps
